temperature_target_K,tint_coordinate,old_x,old_y,old_u1960,old_v1960,old_true_cct_K,old_true_duv,old_cct_shift_K,new_x,new_y,new_u1960,new_v1960,new_recovered_cct_K,new_recovered_duv,new_cct_error_K
4000,0.135,0.1105375852612066,0.8218435328591587,0.034977350627470406,0.39008328264733083,8253.797962483533,0.18258991901035007,4253.797962483533,0.42495272355385755,0.540800549351903,0.19674417733494193,0.3755689278611248,4000.003006781866,0.04999999999984151,0.0030067818661336787
4000,0.4,0.2426578063983784,0.6089017377218446,0.09882713513746676,0.3719807032736608,7073.730976184821,0.11864075396918114,3073.730976184821,0.4088953041061152,0.48161624436609246,0.20543362239905533,0.3629541670916757,4000.002362650463,0.03468208092473771,0.0023626504630556155
4000,1.0,0.38234362499999996,0.3837662610155782,0.22357616222949991,0.33661207701983076,4000.100109695257,0.002696811586753407,0.10010969525683322,0.3804476359465947,0.376764062235114,0.2251078376385574,0.33439244459480993,3999.9999999999905,4.8754886399806016e-17,-9.549694368615746e-12
4000,1.6,0.44661738088798164,0.28017448042966436,0.3266622018318273,0.3073853031389218,1901.0000000000027,-0.053047989093149665,-2098.9999999999973,0.3661023269921155,0.3238902400720552,0.23794207307005757,0.3157605517141244,3999.9974126019574,-0.0226244343890412,-0.0025873980425785703
4000,2.326,0.48941642029557525,0.21119409118142443,0.42973708509611624,0.2781616922834861,1901.0000000000027,-0.08874645972459101,-2098.9999999999973,0.35184578416462325,0.2713435913722726,0.25347149794217283,0.293215961328495,3999.991584909393,-0.04999999999972428,-0.008415090606831654
5000,0.135,0.10482971596302153,0.8055456395279832,0.033661605987963,0.3880000962610317,8429.483328617362,0.18271996476894573,3429.4833286173616,0.356995732967284,0.4841114395563323,0.17639554450251999,0.35880723392958813,5000.002820096298,0.049999999999936186,0.002820096297909913
5000,0.4,0.22479920239904078,0.58300769266088,0.0941913144598925,0.3664220801892286,7564.030662437489,0.1195592674291753,2564.030662437489,0.3527915631099029,0.4372371291959467,0.18712599735608862,0.34787581012708113,5000.002149596035,0.034682080924809774,0.0021495960354513954
5000,1.0,0.3457409999999999,0.358666152757,0.20914351987707544,0.3254431857157575,5000.129097902198,0.0032497101694762146,0.12909790219782735,0.34511399079835675,0.35163618547720393,0.21142136230756461,0.3231254166119708,5000.0,0.0,0.0
5000,1.6,0.39946958176287706,0.25900207459185304,0.3009705263465455,0.2927081094788931,2168.5670071081086,-0.06553033604241039,-2831.4329928918914,0.34112662882446815,0.3071791704127163,0.22727014864468886,0.3069797979162163,4999.9974936803355,-0.022624434389099644,-0.002506319664462353
5000,2.326,0.4346032171511096,0.19383077714327737,0.3900617804802441,0.260948291662398,1901.0000000000027,-0.10341033791323345,-3098.9999999999973,0.33708392869886544,0.2621051636979843,0.24644718011260916,0.28744359929435337,4999.991341166327,-0.049999999999881174,-0.00865883367259812
